방송일자,방송시간,채널구분,단순분,가중분,아이템분류1,아이템분류2,아이템분류3,아이템분류4,아이템분류5,브랜드,상품명,판매가,할인가,프로모션,상품ID,이미지URL,상세링크,MD분류
2026-01-02,14:33~15:34,IPTV,61,30,패션,여성의류,상의,니트,긴팔,비버리힐즈폴로클럽,(신세계 단독)25FW 비버리힐즈폴로클럽 여성 울 블렌디드 반집업 케이블니트 3종,119000,119000,카드 5%,20068498,https://img.shinsegaetvshopping.com/goods/498/20068498_s_20251013112847.jpg,https://www.shinsegaetvshopping.com/display/detail/20068498,여성의류
2026-01-02,14:33~15:34,CATV,61,13,패션잡화,언더웨어,여성,팬티,삼각팬티,라페어,라페어 러스틱라이프 레이온 팬티 15종+피치기모팬츠 1종(랜덤),49900,49900,,20069302,https://img.shinsegaetvshopping.com/goods/302/20069302_s_20251029205606.jpg,https://www.shinsegaetvshopping.com/display/detail/20069302,언더웨어
2026-01-02,15:34~16:34,전체,60,62,가공식품,냉동식품,기타 냉동식품,기타 냉동식품,기타 냉동식품,조선호텔,조선호텔 닭갈비 300g X 7팩 (직),49900,49900,,20068014,https://img.shinsegaetvshopping.com/goods/014/20068014_s_20250401110627.jpg,https://www.shinsegaetvshopping.com/display/detail/20068014,일반식품
2026-01-02,16:34~17:34,IPTV,60,45,가공식품,즉석/편의식품,즉석/조리식품,즉석국/탕/찌개류,기타 즉석국/탕/찌개류,조선호텔,[방송에서만] 조선호텔 진한 한우도가니탕 1kg X 5팩(총 15인분),69900,69900,카드 5%,20067026,https://img.shinsegaetvshopping.com/goods/026/20067026_s_20250704131323.jpg,https://www.shinsegaetvshopping.com/display/detail/20067026,일반식품
2026-01-02,16:34~17:34,CATV,60,20,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,대원제약_알부민,[방송에서만 30병 더] 대원제약 알부민 킹 총 90병,168000,168000,카드 5%,20069082,https://img.shinsegaetvshopping.com/goods/082/20069082_l_20251015164840.jpg,https://www.shinsegaetvshopping.com/display/detail/20069082,건강식품
2026-01-02,17:34~18:35,전체,61,66,가공식품,냉동식품,냉동가공식품,냉동스테이크/떡갈비/섭산적,냉동갈비,조선호텔,조선호텔 양념 소갈비 수제 포갈비 600g X 6팩(3.6kg),149900,149900,카드 5%,20061088,https://img.shinsegaetvshopping.com/goods/088/20061088_s_20250401110541.jpg,https://www.shinsegaetvshopping.com/display/detail/20061088,일반식품
2026-01-02,18:35~19:35,전체,60,49,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,시나몬랩_프로틴프레츨,프로틴 프레첼 12봉(3가지맛*4봉),53100,53100,카드 5%,20070249,https://img.shinsegaetvshopping.com/goods/249/20070249_s_20251222162358.jpg,https://www.shinsegaetvshopping.com/display/detail/20070249,건강식품
2026-01-02,19:35~20:35,전체,60,75,패션,여성의류,하의,데님,스트레이트,블루핏,[25FW최신상] 블루핏 NEW 스트레이트핏 기모 데님 3종,89900,89900,카드 5%,20066931,https://img.shinsegaetvshopping.com/goods/931/20066931_l_20251028142540.jpg,https://www.shinsegaetvshopping.com/display/detail/20066931,PB
2026-01-02,20:35~21:36,IPTV,61,81,뷰티,기초화장품,기초케어,크림/젤,크림,닥터3,[단독! 방송에서만 이 가격!] 닥터3 리프테놀 크림 25ml X 6개,69900,69900,카드 5%,20069357,https://img.shinsegaetvshopping.com/goods/357/20069357_s_20251023113924.jpg,https://www.shinsegaetvshopping.com/display/detail/20069357,뷰티
2026-01-02,20:35~21:36,CATV,61,35,뷰티,색조화장품,포인트메이크업,마스카라,마스카라,닥터3,[단독! 본품최다!] 닥터3 블랙 펩타이드 세럼카라 6ml X 5개,59900,59900,카드 5%,20068310,https://img.shinsegaetvshopping.com/goods/310/20068310_s_20250912164657.png,https://www.shinsegaetvshopping.com/display/detail/20068310,뷰티
2026-01-02,21:36~22:36,전체,60,114,뷰티,기초화장품,기초케어,크림/젤,탄력크림,성분에디터,[특대용량패키지] 성분에디터 녹는실 아이크림 세트 (아이크림 50ml*7개),99900,99900,카드 5%,20069268,https://img.shinsegaetvshopping.com/goods/268/20069268_s_20251021152335.jpg,https://www.shinsegaetvshopping.com/display/detail/20069268,뷰티
2026-01-02,22:36~23:37,IPTV,61,51,패션,남성클래식,하의,정장팬츠,본딩,워모,워모 25FW 써모라이트 본딩 팬츠 3종,99000,99000,카드 5%,20068954,https://img.shinsegaetvshopping.com/goods/954/20068954_s_20251029160236.jpg,https://www.shinsegaetvshopping.com/display/detail/20068954,캐쥬얼남성
2026-01-02,22:36~23:37,CATV,61,22,패션,남성캐쥬얼,하의,캐쥬얼팬츠,본딩팬츠,CERINI BY PAT,CERINI by PAT 25FW 보아퍼 패딩팬츠3종,89900,89900,카드 5%,20070234,https://img.shinsegaetvshopping.com/goods/234/20070234_l_20251128100714.jpg,https://www.shinsegaetvshopping.com/display/detail/20070234,캐쥬얼남성
2026-01-02,23:37~00:37,전체,60,50,생활용품,의료기기,기구/기계,의료용자기발생기,의료용자기발생기,온바디,"[방송중에만/의료기기] 닥터벨트 에어핏! 국내제조, 식약처 인증 의료기기(추간판탈출증,퇴행성협착증,의료용자기발생기)",99000,99000,카드 5%,20070519,https://img.shinsegaetvshopping.com/goods/519/20070519_s_20251215144727.jpg,https://www.shinsegaetvshopping.com/display/detail/20070519,생활가전
2026-01-03,00:37~01:38,전체,61,38,패션잡화,신발,여성신발,부츠/워커,털부츠,베네통,"[런칭가89,000원 →3만원↓] 베네통 천연가죽 양털 부츠",59000,59000,카드 5%,20070275,https://img.shinsegaetvshopping.com/goods/275/20070275_s_20241115151841.jpg,https://www.shinsegaetvshopping.com/display/detail/20070275,잡화
